id,university,subject,close,first_result,interview,finale_rusult
245,경희대학교(네오르네상스),시각디자인학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
246,경희대학교(네오르네상스),환경조경디자인학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
247,경희대학교(네오르네상스),의류디자인학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
248,경희대학교(네오르네상스),디지털콘텐츠학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
249,경희대학교(네오르네상스),도예학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
250,경희대학교(네오르네상스),연극영화학과_영화연출 및 제작,9/11~9/15,11월 22일,12/2~12/3,12월 15일
251,경희대학교(네오르네상스),체육학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
252,경희대학교(네오르네상스),스포츠의학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
253,경희대학교(네오르네상스),골프산업학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
254,경희대학교(네오르네상스),태권도학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
255,경희대학교(고교연계),국어국문학과,9/11~9/15,-,-,11월 22일
256,경희대학교(고교연계),사학과,9/11~9/15,-,-,11월 22일
257,경희대학교(고교연계),철학과,9/11~9/15,-,-,11월 22일
258,경희대학교(고교연계),영어영문학과,9/11~9/15,-,-,11월 22일
259,경희대학교(고교연계),응용영어통번역학과,9/11~9/15,-,-,11월 22일
260,경희대학교(고교연계),프랑스어학과,9/11~9/15,-,-,11월 22일
261,경희대학교(고교연계),스페인어학과,9/11~9/15,-,-,11월 22일
262,경희대학교(고교연계),러시아어학과,9/11~9/15,-,-,11월 22일
263,경희대학교(고교연계),중국어학과,9/11~9/15,-,-,11월 22일
264,경희대학교(고교연계),한국어학과,9/11~9/15,-,-,11월 22일
265,경희대학교(고교연계),글로벌커뮤니케이션학부,9/11~9/15,-,-,11월 22일
266,경희대학교(고교연계),자율전공학과,9/11~9/15,-,-,11월 22일
267,경희대학교(고교연계),정치외교학과,9/11~9/15,-,-,11월 22일
268,경희대학교(고교연계),행정학과,9/11~9/15,-,-,11월 22일
269,경희대학교(고교연계),사회학과,9/11~9/15,-,-,11월 22일
270,경희대학교(고교연계),경제학과,9/11~9/15,-,-,11월 22일
271,경희대학교(고교연계),무역학과,9/11~9/15,-,-,11월 22일
272,경희대학교(고교연계),언론정보학과,9/11~9/15,-,-,11월 22일
273,경희대학교(고교연계),국제학과,9/11~9/15,-,-,11월 22일
274,경희대학교(고교연계),경영학과,9/11~9/15,-,-,11월 22일
275,경희대학교(고교연계),회계세무학과,9/11~9/15,-,-,11월 22일
276,경희대학교(고교연계),Hospitality경영학부,9/11~9/15,-,-,11월 22일
277,경희대학교(고교연계),관광학부,9/11~9/15,-,-,11월 22일
278,경희대학교(고교연계),아동가족학과,9/11~9/15,-,-,11월 22일
279,경희대학교(고교연계),주거환경학과,9/11~9/15,-,-,11월 22일
280,경희대학교(고교연계),의상학과,9/11~9/15,-,-,11월 22일
281,경희대학교(고교연계),지리학과(인문),9/11~9/15,-,-,11월 22일
282,경희대학교(고교연계),한의예과(인문),9/11~9/15,-,-,11월 22일
283,경희대학교(고교연계),간호학과(인문),9/11~9/15,-,-,11월 22일
